token	category
唔係	Cantonese
都唔	Cantonese
唔好	Cantonese
唔到	Cantonese
唔會	Cantonese
佢地	Cantonese
出嚟	Cantonese
唔知	Cantonese
嘅人	Cantonese
咁多	Cantonese
都冇	Cantonese
呢啲	Cantonese
有冇	Cantonese
會唔會	Cantonese
佢哋	Cantonese
唔洗	Cantonese
嘅話	Cantonese
唔同	Cantonese
唔可以	Cantonese
唔想	Cantonese
係咁	Cantonese
又唔	Cantonese
冇人	Cantonese
啲人	Cantonese
唔係	Cantonese
唔夠	Cantonese
睇吓	Cantonese
唔多	Cantonese
唔識	Cantonese
都唔會	Cantonese
除咗	Cantonese
咁樣	Cantonese
嘅野	Cantonese
有啲	Cantonese
同佢	Cantonese
唔好	Cantonese
都唔知	Cantonese
架啦	Cantonese
佢係	Cantonese
為咗	Cantonese
唔撚	Cantonese
嚟講	Cantonese
咁撚	Cantonese
差唔多	Cantonese
做乜	Cantonese
唔得	Cantonese
嗰陣	Cantonese
咗個	Cantonese
都唔係	Cantonese
嘅時候	Cantonese
咗佢	Cantonese
多啲	Cantonese
返嚟	Cantonese
可唔可以	Cantonese
咁嘅	Cantonese
唔使	Cantonese
嗰啲	Cantonese
佢嘅	Cantonese
比佢	Cantonese
我唔	Cantonese
問吓	Cantonese
佢地	Cantonese
咁大	Cantonese
咁講	Cantonese
就唔	Cantonese
咗好多	Cantonese
嘅係	Cantonese
嘅事	Cantonese
撚咗	Cantonese
有冇	Cantonese
都係咁	Cantonese
唔知	Cantonese
入嚟	Cantonese
唔出	Cantonese
試吓	Cantonese
冇得	Cantonese
係佢	Cantonese
買咗	Cantonese
你唔	Cantonese
到佢	Cantonese
人嘅	Cantonese
嘅嘢	Cantonese
死咗	Cantonese
過咗	Cantonese
出咗	Cantonese
唔明	Cantonese
嗰個	Cantonese
變咗	Cantonese
啱啱	Cantonese
到咁	Cantonese
唔住	Cantonese
佢個	Cantonese
自己嘅	Cantonese
又唔係	Cantonese
上嚟	Cantonese
唔少	Cantonese
你嘅	Cantonese
冇乜	Cantonese
咁耐	Cantonese
俾佢	Cantonese
快啲	Cantonese
唔通	Cantonese
喺度	Cantonese
諗吓	Cantonese
多咗	Cantonese
咁你	Cantonese
走咗	Cantonese
話佢	Cantonese
唔算	Cantonese
做咗	Cantonese
唔敢	Cantonese
落嚟	Cantonese
唔記得	Cantonese
去咗	Cantonese
入咗	Cantonese
叫佢	Cantonese
啲咩	Cantonese
係唔係	Cantonese
算啦	Cantonese
乜撚	Cantonese
唔該	Cantonese
就唔會	Cantonese
咁做	Cantonese
先啦	Cantonese
